Class Name,Instance Side Definition,Class Side Definition
LGitLibrary,"FFILibrary subclass: #LGitLibrary 	instanceVariableNames: '' 	classVariableNames: 'Initialized' 	poolDictionaries: '' 	category: 'LibGit-Core-FFI-Handling'","LGitLibrary class 	instanceVariableNames: ''"
IRPopIntoInstVar,"IRInstVarAccess subclass: #IRPopIntoInstVar 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Core-IR-Nodes'","IRPopIntoInstVar class 	instanceVariableNames: ''"
TraitExclusion,"TraitTransformation subclass: #TraitExclusion 	instanceVariableNames: 'exclusions' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Traits-Composition'","TraitExclusion class 	instanceVariableNames: ''"
IntegerArrayTest,"TestCase subclass: #IntegerArrayTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Tests-Arrayed'","IntegerArrayTest class 	instanceVariableNames: ''"
RGMetatraitDefinition,"RGTraitDescriptionDefinition subclass: #RGMetatraitDefinition 	instanceVariableNames: 'baseClass' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Ring-Core-Kernel'","RGMetatraitDefinition class 	instanceVariableNames: ''"
DAPackageRelationGraphTest,"TestCase subclass: #DAPackageRelationGraphTest 	instanceVariableNames: 'packageCollectionAbstract packageCollectionsSequenceable packageKernel packageRegexCore packageStrings aPackageRelationGraph packagePackageDependencies packageA packageB packageC packageD' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-DependencyAnalyser-Test'","DAPackageRelationGraphTest class 	instanceVariableNames: ''"
ZnRequestLineTests,"TestCase subclass: #ZnRequestLineTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Tests'","ZnRequestLineTests class 	instanceVariableNames: ''"
RBClassNotReferencedRule,"RBBlockLintRule subclass: #RBClassNotReferencedRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-BlockRules'","RBClassNotReferencedRule class 	instanceVariableNames: ''"
DAAddPackageModel,"ComposableModel subclass: #DAAddPackageModel 	instanceVariableNames: 'packageList buttonAddPackage packageAnalyzerTreeModel' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-DependencyAnalyser-UI-Core'","DAAddPackageModel class 	instanceVariableNames: ''"
FLPluggableSubstitutionTest,"FLSerializationTest subclass: #FLPluggableSubstitutionTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FuelTests'","FLPluggableSubstitutionTest class 	instanceVariableNames: ''"
GRInstanceVariableCapitalizationRule,"ReAbstractRule subclass: #GRInstanceVariableCapitalizationRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'GeneralRules'","GRInstanceVariableCapitalizationRule class 	instanceVariableNames: ''"
MorphTreeMorphSelection,"Object subclass: #MorphTreeMorphSelection 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets-Tree'","MorphTreeMorphSelection class 	instanceVariableNames: ''"
ConfigurationOfGTPlaygroundCore,"Object subclass: #ConfigurationOfGTPlaygroundCore 	instanceVariableNames: 'project' 	classVariableNames: 'LastVersionLoad' 	poolDictionaries: '' 	category: 'ConfigurationOfGTPlaygroundCore'","ConfigurationOfGTPlaygroundCore class 	instanceVariableNames: ''"
TonelReader,"MCVersionReader subclass: #TonelReader 	instanceVariableNames: 'packageDirectory' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'MonticelloTonel-Core'","TonelReader class 	instanceVariableNames: ''"
HiddenInstanceVariableSlot,"InstanceVariableSlot subclass: #HiddenInstanceVariableSlot 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Slot-Examples'","HiddenInstanceVariableSlot class 	instanceVariableNames: ''"
SDL_ControllerButtonDownEvent,"SDL_ControllerButtonEvent subclass: #SDL_ControllerButtonDownEvent 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OSWindow-SDL2-Bindings'","SDL_ControllerButtonDownEvent class 	instanceVariableNames: ''"
RBExtractToTemporaryRefactoring,"RBMethodRefactoring subclass: #RBExtractToTemporaryRefactoring 	instanceVariableNames: 'sourceInterval selector newVariableName parseTree' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Core-Refactorings'","RBExtractToTemporaryRefactoring class 	instanceVariableNames: ''"
ByteSymbolTest,"SymbolTest subclass: #ByteSymbolTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Tests-Strings'","ByteSymbolTest class 	instanceVariableNames: ''"
IRPopIntoRemoteTemp,"IRRemoteTempAccess subclass: #IRPopIntoRemoteTemp 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Core-IR-Nodes'","IRPopIntoRemoteTemp class 	instanceVariableNames: ''"
MetacelloIgnorePackageLoaded,"Notification subclass: #MetacelloIgnorePackageLoaded 	instanceVariableNames: 'packageSpec' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Exceptions-Notifications'","MetacelloIgnorePackageLoaded class 	instanceVariableNames: ''"
VMCallbackContext32,"Alien variableByteSubclass: #VMCallbackContext32 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Alien-Core'","VMCallbackContext32 class 	instanceVariableNames: ''"
GIFReadWriter,"ImageReadWriter subclass: #GIFReadWriter 	instanceVariableNames: 'width height bitsPerPixel colorPalette rowByteSize xpos ypos pass interlace codeSize clearCode eoiCode freeCode maxCode prefixTable suffixTable remainBitCount bufByte bufStream transparentIndex mapOf32 localColorTable delay loopCount offset' 	classVariableNames: 'Extension ImageSeparator Terminator' 	poolDictionaries: '' 	category: 'Graphics-Files'","GIFReadWriter class 	instanceVariableNames: ''"
DoubleLinkedListTests,"TestCase subclass: #DoubleLinkedListTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-DoubleLinkedListTests'","DoubleLinkedListTests class 	instanceVariableNames: ''"
AthensBalloonSurfaceExamples,"AthensSurfaceExamples subclass: #AthensBalloonSurfaceExamples 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Athens-Examples'","AthensBalloonSurfaceExamples class 	instanceVariableNames: ''"
FloatPrintPolicy,"DynamicVariable subclass: #FloatPrintPolicy 	instanceVariableNames: 'default' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Numbers'","FloatPrintPolicy class 	instanceVariableNames: ''"
OSWindowAthensExampleEventHandler,"OSWindowEventVisitor subclass: #OSWindowAthensExampleEventHandler 	instanceVariableNames: 'athensExample' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OSWindow-SDL2-Examples-Examples'","OSWindowAthensExampleEventHandler class 	instanceVariableNames: ''"
LGit_GIT_EAMBIGUOUS,"LGitCallReturnHandler subclass: #LGit_GIT_EAMBIGUOUS 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'LibGit-Core-Exceptions-ReturnCodes'","LGit_GIT_EAMBIGUOUS class 	instanceVariableNames: ''"
AthensBackgroundChange,"AthensTextDisplayCommand subclass: #AthensBackgroundChange 	instanceVariableNames: 'color start width' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Athens-Text'","AthensBackgroundChange class 	instanceVariableNames: ''"
OSTouchTwoFingersScrollDetector,"OSTouchScrollDetector subclass: #OSTouchTwoFingersScrollDetector 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OSWindow-Core-Gestures'","OSTouchTwoFingersScrollDetector class 	instanceVariableNames: ''"
LinkedListTest,"TestCase subclass: #LinkedListTest 	uses: TAddTest - {#testTAddWithOccurences. #testTAddTwice. #testTWriteTwice} + TEmptyTest + TIterateTest + TIterateSequencedReadableTest + TPrintTest + TAsStringCommaAndDelimiterSequenceableTest + TIndexAccess + TSequencedElementAccessTest + TSubCollectionAccess + (TConvertTest - {#testAsByteArray. #integerCollectionWithoutEqualElements}) + (TCopyPartOfSequenceable - {#testCopyEmptyMethod}) + (TCopySequenceableSameContents - {#testSortBy. #integerCollection}) + TCopySequenceableWithOrWithoutSpecificElements + TCopyTest + (TCopySequenceableWithReplacement - {#testCopyReplaceAllWithManyOccurence. #collectionWith2TimeSubcollection}) + TBeginsEndsWith + TRemoveTest + TSetArithmetic + TIncludesWithIdentityCheckTest + TStructuralEqualityTest + TOccurrencesTest + TSortTest 	instanceVariableNames: 'nextLink n list link1 link2 link3 link4 nonEmpty otherList link collectionWithNil collectionWithoutNil nonEmpty1Element collectionWithoutEqualElements elementNotIn elementIn sameAtendAndBegining collection5Elements collectResult unsortedCollection sortedCollection' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Tests-Sequenceable'","LinkedListTest class 	uses: TAddTest classTrait + TEmptyTest classTrait + TIterateTest classTrait + TIterateSequencedReadableTest classTrait + TPrintTest classTrait + TAsStringCommaAndDelimiterSequenceableTest classTrait + TIndexAccess classTrait + TSequencedElementAccessTest classTrait + TSubCollectionAccess classTrait + TConvertTest classTrait + TCopyPartOfSequenceable classTrait + TCopySequenceableSameContents classTrait + TCopySequenceableWithOrWithoutSpecificElements classTrait + TCopyTest classTrait + TCopySequenceableWithReplacement classTrait + TBeginsEndsWith classTrait + TRemoveTest classTrait + TSetArithmetic classTrait + TIncludesWithIdentityCheckTest classTrait + TStructuralEqualityTest classTrait + TOccurrencesTest classTrait + TSortTest classTrait 	instanceVariableNames: ''"
AuthorNameRequest,"Notification subclass: #AuthorNameRequest 	instanceVariableNames: 'initialAnswer' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Support'","AuthorNameRequest class 	instanceVariableNames: ''"
RubTextSetInModel,"RubAnnouncement subclass: #RubTextSetInModel 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Rubric-Editing-Announcements'","RubTextSetInModel class 	instanceVariableNames: ''"
NotFoundError,"Error subclass: #NotFoundError 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Alien-Core'","NotFoundError class 	instanceVariableNames: ''"
LGitBlame,"LGitRepositoryObject subclass: #LGitBlame 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'LibGit-Core-NonCoreObjects'","LGitBlame class 	instanceVariableNames: ''"
OCSuperVariable,"OCSpecialVariable subclass: #OCSuperVariable 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Core-Semantics'","OCSuperVariable class 	instanceVariableNames: ''"
QANautilusPlugin,"AbstractNautilusPlugin subclass: #QANautilusPlugin 	instanceVariableNames: 'morph currentEntity' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'QualityAssistant'","QANautilusPlugin class 	instanceVariableNames: ''"
KMKeyCombinationSequence,"KMKeyCombination subclass: #KMKeyCombinationSequence 	instanceVariableNames: 'shortcuts' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Keymapping-KeyCombinations'","KMKeyCombinationSequence class 	instanceVariableNames: ''"
GoferLocalChanges,"GoferChanges subclass: #GoferLocalChanges 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Gofer-Core'","GoferLocalChanges class 	instanceVariableNames: ''"
FreeTypeCache,"Object subclass: #FreeTypeCache 	instanceVariableNames: 'maximumSize used fontTable fifo' 	classVariableNames: '' 	poolDictionaries: 'FreeTypeCacheConstants' 	category: 'FreeType-Cache'","FreeTypeCache class 	instanceVariableNames: 'current'"
DebuggerMethodMapOpal,"Object subclass: #DebuggerMethodMapOpal 	instanceVariableNames: 'methodNode' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Core-FrontEnd'","DebuggerMethodMapOpal class 	instanceVariableNames: ''"
AthensBalloonPath,"AthensPath subclass: #AthensBalloonPath 	instanceVariableNames: 'bounds contours last' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Athens-Balloon'","AthensBalloonPath class 	instanceVariableNames: ''"
OmStoreTest,"TestCase subclass: #OmStoreTest 	instanceVariableNames: 'store anEntry aReference otherStore' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OmbuTests'","OmStoreTest class 	instanceVariableNames: ''"
SDL2Union,"FFIExternalUnion subclass: #SDL2Union 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: 'SDL2Constants SDL2Types' 	category: 'OSWindow-SDL2-Bindings'","SDL2Union class 	instanceVariableNames: ''"
FTNilFunction,"FTFunction subclass: #FTNilFunction 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets-FastTable-Functions'","FTNilFunction class 	instanceVariableNames: ''"
RBAddRemoveDependentsRule,"RBBlockLintRule subclass: #RBAddRemoveDependentsRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-BlockRules'","RBAddRemoveDependentsRule class 	instanceVariableNames: ''"
LGit_GIT_OK,"LGitCallReturnHandler subclass: #LGit_GIT_OK 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'LibGit-Core-Exceptions-ReturnCodes'","LGit_GIT_OK class 	instanceVariableNames: ''"
GLMSwappedColorDiffPresentation,"GLMDiffPresentation subclass: #GLMSwappedColorDiffPresentation 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Iceberg-UI-Utils'","GLMSwappedColorDiffPresentation class 	instanceVariableNames: ''"
GLMAccumulatorTest,"TestCase subclass: #GLMAccumulatorTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Tests-Core'","GLMAccumulatorTest class 	instanceVariableNames: ''"
GLMAsyncTask,"Object subclass: #GLMAsyncTask 	instanceVariableNames: 'process callback delay task priority arguments' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Morphic-Brick-Async'","GLMAsyncTask class 	instanceVariableNames: ''"
MetacelloMCVersionSpec,"MetacelloVersionSpec subclass: #MetacelloMCVersionSpec 	instanceVariableNames: 'repositories packages' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-MC-Specs'","MetacelloMCVersionSpec class 	instanceVariableNames: ''"
RubColumnDisplayer,"RubScrolledTextExtraSurface subclass: #RubColumnDisplayer 	instanceVariableNames: 'tabWidth tabLineDashesColors tabLineColor tabLineDashes tabLineWidth' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Rubric-Editing-Widgets'","RubColumnDisplayer class 	instanceVariableNames: ''"
RBRemoveClassTest,"RBRefactoringTest subclass: #RBRemoveClassTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Tests-Core'","RBRemoveClassTest class 	instanceVariableNames: ''"
AthensTextLine,"Object subclass: #AthensTextLine 	instanceVariableNames: 'text startIndex endIndex height maxAscent maxDescent width top commands tail' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Athens-Text'","AthensTextLine class 	instanceVariableNames: ''"
FFIConstantHandle,"FFIExternalReference subclass: #FFIConstantHandle 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'UnifiedFFI-Objects'","FFIConstantHandle class 	instanceVariableNames: ''"
GLMTestAnnouncement,"Announcement subclass: #GLMTestAnnouncement 	instanceVariableNames: 'parameter' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Tests-Core'","GLMTestAnnouncement class 	instanceVariableNames: ''"
MorphicTableContainerAdapter,"AbstractMorphicAdapter subclass: #MorphicTableContainerAdapter 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-MorphicAdapters'","MorphicTableContainerAdapter class 	instanceVariableNames: ''"
OCASTClosureAnalyzerTest,"TestCase subclass: #OCASTClosureAnalyzerTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Tests-AST'","OCASTClosureAnalyzerTest class 	instanceVariableNames: ''"
GLMMorphicWindowRenderer,"GLMMorphicWidgetRenderer subclass: #GLMMorphicWindowRenderer 	instanceVariableNames: 'window' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Morphic-Renderer'","GLMMorphicWindowRenderer class 	instanceVariableNames: ''"
MCStWriter,"MCWriter subclass: #MCStWriter 	instanceVariableNames: 'initializers writeInitializers' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Storing'","MCStWriter class 	instanceVariableNames: ''"
KeyedTreeTest,"TestCase subclass: #KeyedTreeTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Tests-Unordered'","KeyedTreeTest class 	instanceVariableNames: ''"
OCTempVariable,"OCAbstractLocalVariable subclass: #OCTempVariable 	instanceVariableNames: 'escaping' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Core-Semantics'","OCTempVariable class 	instanceVariableNames: ''"
GTFilterBlock,"GTUnorderedFilter subclass: #GTFilterBlock 	instanceVariableNames: 'matcher' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'GT-Spotter-Filters'","GTFilterBlock class 	instanceVariableNames: ''"
