Class Name,Instance Side Definition,Class Side Definition
RBExtractMethodRefactoring,"RBMethodRefactoring subclass: #RBExtractMethodRefactoring 	instanceVariableNames: 'selector extractionInterval extractedParseTree modifiedParseTree parameters needsReturn' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Core-Refactorings'","RBExtractMethodRefactoring class 	instanceVariableNames: ''"
Trait,"TraitDescription subclass: #Trait 	uses: TBehaviorCategorization 	instanceVariableNames: 'name environment classTrait category' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Traits-Kernel'","Trait class 	uses: TBehaviorCategorization classTrait 	instanceVariableNames: ''"
NECClassVarTypeGuesserTest,"TestCase subclass: #NECClassVarTypeGuesserTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NECompletion-Tests'","NECClassVarTypeGuesserTest class 	instanceVariableNames: ''"
DirectoryEntryTest,"TestCase subclass: #DirectoryEntryTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Tests-Core'","DirectoryEntryTest class 	instanceVariableNames: ''"
ShortRunArray,"ArrayedCollection variableWordSubclass: #ShortRunArray 	instanceVariableNames: '' 	classVariableNames: 'LastSaveOrder' 	poolDictionaries: '' 	category: 'Balloon-Collections'","ShortRunArray class 	instanceVariableNames: ''"
ErrorDialogWindow,"MessageDialogWindow subclass: #ErrorDialogWindow 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets-Windows'","ErrorDialogWindow class 	instanceVariableNames: ''"
RBAddClassTest,"RBRefactoringTest subclass: #RBAddClassTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Tests-Core'","RBAddClassTest class 	instanceVariableNames: ''"
AJRoutinePrologue,"AJInstruction subclass: #AJRoutinePrologue 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AsmJit-Instructions'","AJRoutinePrologue class 	instanceVariableNames: ''"
FLBitsObjectCluster,"FLObjectCluster subclass: #FLBitsObjectCluster 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Fuel-Clusters'","FLBitsObjectCluster class 	instanceVariableNames: ''"
AJGeneratedCode,"Object subclass: #AJGeneratedCode 	instanceVariableNames: 'bytes labels' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AsmJit-Core'","AJGeneratedCode class 	instanceVariableNames: ''"
FLSignatureTest,"FLSerializationTest subclass: #FLSignatureTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FuelTests'","FLSignatureTest class 	instanceVariableNames: ''"
ExternalClipboard,"Clipboard subclass: #ExternalClipboard 	instanceVariableNames: 'clipboard' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Clipboard'","ExternalClipboard class 	instanceVariableNames: ''"
RBThreeElementPointRule,"RBParseTreeLintRule subclass: #RBThreeElementPointRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-ParseTreeRules'","RBThreeElementPointRule class 	instanceVariableNames: ''"
PragmaCollector,"Object subclass: #PragmaCollector 	instanceVariableNames: 'announcer collected filter' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Pragmas-Collector'","PragmaCollector class 	instanceVariableNames: ''"
RBClassScope,"RBOwnedScope subclass: #RBClassScope 	instanceVariableNames: 'class' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Semantic-Scope'","RBClassScope class 	instanceVariableNames: ''"
InteractiveResolverTest,"FileSystemResolverTest subclass: #InteractiveResolverTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Tests-Core'","InteractiveResolverTest class 	instanceVariableNames: ''"
SocketTest,"TestCase subclass: #SocketTest 	instanceVariableNames: 'listenerSocket clientSocket serverSocket' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NetworkTests-Kernel'","SocketTest class 	instanceVariableNames: ''"
SubwidgetItem,"DynamicComposableModel subclass: #SubwidgetItem 	instanceVariableNames: 'model initialExtent validated' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Tools-Editor'","SubwidgetItem class 	instanceVariableNames: ''"
HDChangeReport,"HDReport subclass: #HDChangeReport 	instanceVariableNames: 'gofer' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'HudsonBuildTools20'","HDChangeReport class 	instanceVariableNames: ''"
FLTraitSerializationTest,"FLSerializationTest subclass: #FLTraitSerializationTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FuelTests'","FLTraitSerializationTest class 	instanceVariableNames: ''"
MorphBugs,"TestCase subclass: #MorphBugs 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-Bugs'","MorphBugs class 	instanceVariableNames: ''"
FT2GlyphSlot,"Object subclass: #FT2GlyphSlot 	instanceVariableNames: 'face linearHorizontalAdvance linearVerticalAdvance advanceX advanceY format bitmapLeft bitmapTop width height hBearingX hBearingY hAdvance vBearingX vBearingY vAdvance outline' 	classVariableNames: '' 	poolDictionaries: 'FT2Constants' 	category: 'FreeType-Base'","FT2GlyphSlot class 	instanceVariableNames: ''"
RBProgramNodeTest,"TestCase subclass: #RBProgramNodeTest 	instanceVariableNames: 'node previous' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Tests-Core'","RBProgramNodeTest class 	instanceVariableNames: ''"
MethodDictionaryTest,"TestCase subclass: #MethodDictionaryTest 	uses: TIncludesTest + TDictionaryKeysValuesAssociationsAccess + TDictionaryRemovingTest 	instanceVariableNames: 'nonEmptyDict' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Methods'","MethodDictionaryTest class 	uses: TIncludesTest classTrait + TDictionaryKeysValuesAssociationsAccess classTrait + TDictionaryRemovingTest classTrait 	instanceVariableNames: ''"
NBUInt32,"NBIntegerExternalType subclass: #NBUInt32 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NativeBoost-Core-Types'","NBUInt32 class 	instanceVariableNames: ''"
SpecDescriptionImporter,"SpecImporter subclass: #SpecDescriptionImporter 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Builder-Importer'","SpecDescriptionImporter class 	instanceVariableNames: ''"
RBProtocolRegexRefactoring,"RBRegexRefactoring subclass: #RBProtocolRegexRefactoring 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NautilusRefactoring-Refactorings'","RBProtocolRegexRefactoring class 	instanceVariableNames: ''"
SpecLayoutAddRow,"SpecLayoutAdd subclass: #SpecLayoutAddRow 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Layout'","SpecLayoutAddRow class 	instanceVariableNames: ''"
RBCompositeLintRuleTest,"RBLintRuleTest subclass: #RBCompositeLintRuleTest 	instanceVariableNames: 'rules' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Tests-Core-Data'","RBCompositeLintRuleTest class 	instanceVariableNames: ''"
RPackageTraitTest,"RPackageIncrementalTest subclass: #RPackageTraitTest 	instanceVariableNames: 'p4 p5 a1 b1 a2 b2 a3 t1 t2 p6' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'RPackage-Tests'","RPackageTraitTest class 	instanceVariableNames: ''"
DiffChangeMorph,"ComposableMorph subclass: #DiffChangeMorph 	instanceVariableNames: 'diffMorph descriptionMorph' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Tools-Diff'","DiffChangeMorph class 	instanceVariableNames: ''"
TimeZone,"Object subclass: #TimeZone 	instanceVariableNames: 'offset abbreviation name' 	classVariableNames: '' 	poolDictionaries: 'ChronologyConstants' 	category: 'Kernel-Chronology'","TimeZone class 	instanceVariableNames: ''"
FLLightGeneralMapper,"FLMapper subclass: #FLLightGeneralMapper 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Fuel-Mappers'","FLLightGeneralMapper class 	instanceVariableNames: ''"
NautilusRefactoring,"Object subclass: #NautilusRefactoring 	instanceVariableNames: 'environment model' 	classVariableNames: 'PromptOnRefactoring' 	poolDictionaries: '' 	category: 'NautilusRefactoring'","NautilusRefactoring class 	instanceVariableNames: ''"
UndoRedoRecord,"HistoryLeaf subclass: #UndoRedoRecord 	instanceVariableNames: 'redoMessage undoMessage' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-History'","UndoRedoRecord class 	instanceVariableNames: ''"
TreeListMorph,"SimpleHierarchicalListMorph subclass: #TreeListMorph 	instanceVariableNames: 'font' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","TreeListMorph class 	instanceVariableNames: ''"
ParseStack,"Object subclass: #ParseStack 	instanceVariableNames: 'position length' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Compiler-Support'","ParseStack class 	instanceVariableNames: ''"
RBAbstractInstanceVariableTest,"RBRefactoringTest subclass: #RBAbstractInstanceVariableTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Tests-Core'","RBAbstractInstanceVariableTest class 	instanceVariableNames: ''"
RBTemporaryToInstanceVariableRefactoring,"RBMethodRefactoring subclass: #RBTemporaryToInstanceVariableRefactoring 	instanceVariableNames: 'selector temporaryVariableName' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Core-Refactorings'","RBTemporaryToInstanceVariableRefactoring class 	instanceVariableNames: ''"
ToggleIconicButton,"IconicButton subclass: #ToggleIconicButton 	instanceVariableNames: 'model statusSelector enabledIcon disabledIcon' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NautilusCommon'","ToggleIconicButton class 	instanceVariableNames: ''"
PopupChoiceDialogWindow,"ModelDependentDialogWindow subclass: #PopupChoiceDialogWindow 	instanceVariableNames: 'choice labels lines choicesMorph choiceMenus filter filterMorph' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets-Windows'","PopupChoiceDialogWindow class 	instanceVariableNames: ''"
TraitMethodDescriptionTest,"TraitsTestCase subclass: #TraitMethodDescriptionTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-Traits'","TraitMethodDescriptionTest class 	instanceVariableNames: ''"
GrafPort,"BitBlt subclass: #GrafPort 	instanceVariableNames: 'alpha fillPattern lastFont lastFontForegroundColor lastFontBackgroundColor' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Support'","GrafPort class 	instanceVariableNames: ''"
NOCEmptyModel,"Object subclass: #NOCEmptyModel 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NOCompletion-Model'","NOCEmptyModel class 	instanceVariableNames: ''"
TutorialPlayerTestWithMockTutorial,"TestCase subclass: #TutorialPlayerTestWithMockTutorial 	instanceVariableNames: 'player' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'ProfStef-Tests'","TutorialPlayerTestWithMockTutorial class 	instanceVariableNames: ''"
NumberParser,"Object subclass: #NumberParser 	instanceVariableNames: 'sourceStream base neg integerPart fractionPart exponent scale nDigits lastNonZero requestor failBlock' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Numbers'","NumberParser class 	instanceVariableNames: ''"
ShouldBeImplemented,"SelectorException subclass: #ShouldBeImplemented 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Exceptions'","ShouldBeImplemented class 	instanceVariableNames: ''"
PragmaSetting,"Object subclass: #PragmaSetting 	instanceVariableNames: 'precondition target targetSelector name label description order icon ordering dialog allowedInStyle' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Settings-Core'","PragmaSetting class 	instanceVariableNames: ''"
MonthTest,"ClassTestCase subclass: #MonthTest 	instanceVariableNames: 'month' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Chronology'","MonthTest class 	instanceVariableNames: ''"
MetacelloAbstractConstructor,"Object subclass: #MetacelloAbstractConstructor 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Constructors'","MetacelloAbstractConstructor class 	instanceVariableNames: ''"
RGElementDefinition,"RGNamedDefinition subclass: #RGElementDefinition 	instanceVariableNames: 'parent' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Ring-Core-Kernel'","RGElementDefinition class 	instanceVariableNames: ''"
NautilusIcons,"Object subclass: #NautilusIcons 	instanceVariableNames: '' 	classVariableNames: 'Icons Instance' 	poolDictionaries: '' 	category: 'NautilusCommon'","NautilusIcons class 	instanceVariableNames: ''"
PluggableTextMorphWithLimits,"PluggableTextMorph subclass: #PluggableTextMorphWithLimits 	instanceVariableNames: 'alertLimit locked warningLimit method lockIcon canLockChangeSelector lockSelector' 	classVariableNames: 'DefaultWarningLimit' 	poolDictionaries: '' 	category: 'Morphic-Pluggable Widgets'","PluggableTextMorphWithLimits class 	instanceVariableNames: ''"
Process,"Link subclass: #Process 	instanceVariableNames: 'suspendedContext priority myList threadId errorHandler name env' 	classVariableNames: 'PSKeys PSKeysSema' 	poolDictionaries: '' 	category: 'Kernel-Processes'","Process class 	instanceVariableNames: ''"
AJx64Instruction,"AJx86Instruction subclass: #AJx64Instruction 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AsmJit-x86-Instructions'","AJx64Instruction class 	instanceVariableNames: ''"
MockExceptionWithPassAction,"Exception subclass: #MockExceptionWithPassAction 	instanceVariableNames: 'passAction' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CollectionsTests-Weak'","MockExceptionWithPassAction class 	instanceVariableNames: ''"
TraitComposition,"Object subclass: #TraitComposition 	instanceVariableNames: 'transformations' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Traits-Composition'","TraitComposition class 	instanceVariableNames: ''"
NECContext,"Object subclass: #NECContext 	instanceVariableNames: 'source position theClass ranges completionIndex recurseCount receiverClass completionToken model controller variables selectors' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NECompletion-Model'","NECContext class 	instanceVariableNames: ''"
MemoryFileSystemEntry,"Object subclass: #MemoryFileSystemEntry 	instanceVariableNames: 'creationTime modificationTime basename' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Memory'","MemoryFileSystemEntry class 	instanceVariableNames: ''"
RxsBranch,"RxsNode subclass: #RxsBranch 	instanceVariableNames: 'piece branch' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Regex-Core'","RxsBranch class 	instanceVariableNames: ''"
TestCoverage,"ProtoObject subclass: #TestCoverage 	instanceVariableNames: 'hasRun reference method' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-UI'","TestCoverage class 	instanceVariableNames: ''"
FLMultiByteStreamStrategy,"FLStreamStrategy subclass: #FLMultiByteStreamStrategy 	instanceVariableNames: 'inMemoryStream' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FuelTests-StreamStrategies'","FLMultiByteStreamStrategy class 	instanceVariableNames: ''"
NECOverrideModel,"NECTypedModel subclass: #NECOverrideModel 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NECompletion-Model'","NECOverrideModel class 	instanceVariableNames: ''"
FLPair,"Object subclass: #FLPair 	instanceVariableNames: 'left right' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FuelTests-Mocks'","FLPair class 	instanceVariableNames: ''"
DamageRecorder,"Object subclass: #DamageRecorder 	instanceVariableNames: 'invalidRects totalRepaint' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Support'","DamageRecorder class 	instanceVariableNames: ''"
DiffJoinMorph,"ProportionalSplitterMorph subclass: #DiffJoinMorph 	instanceVariableNames: 'srcOffset dstOffset mappings' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Tools-Diff'","DiffJoinMorph class 	instanceVariableNames: ''"
RGGlobalDefinition,"RGNamedDefinition subclass: #RGGlobalDefinition 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Ring-Core-Kernel'","RGGlobalDefinition class 	instanceVariableNames: ''"
