"version","package","class"
"3","Zinc-Resource-Meta-Core","ZnMimeType"
"3","UpdateStreamer-Core","LoadUpdatesCommandLineHandler"
"3","ClassOrganizer-Core","ProtocolOrganizer"
"3","Collections-Unordered","Matrix"
"3","Multilingual-Languages","LanguageEnvironment"
"3","System-Sound","DummySoundSystem"
"3","Zinc-HTTP","ZnStringEntity"
"3","System-CommandLine","PrintVersionCommandLineHandler"
"3","ProfStef-Core","HowToMakeYourOwnTutorial"
"3","AsmJit-Operands","AJImmediate"
"3","Kernel","ClassDescription"
"3","Spec-Core","SliderModel"
"3","NewValueHolder","DictionaryValueHolder"
"3","Spec-PolyWidgets","DateModel"
"3","Zinc-Character-Encoding-Core","ZnPercentEncoder"
"3","StartupPreferences","StartupLoader"
"3","Kernel","TimeZone"
"3","ProfStef-Core","AbstractTutorial"
"2","Tools-Profilers","TimeProfiler"
"2","Polymorph-Widgets","TextMorphForEditorView"
"2","Zinc-Character-Encoding-Core","ZnByteEncoder"
"2","Zinc-FileSystem","ZnMonticelloServerDelegate"
"2","Zinc-Resource-Meta-Core","ZnUrl"
"2","Zinc-Character-Encoding-Core","ZnCharacterEncoder"
"2","Zinc-FileSystem","ZnStaticFileServerDelegate"
"2","FileSystem-Core-Public","FileLocator"
"2","SUnit-UI","TestRunner"
"2","Morphic-Menus","MenuItemMorph"
"2","Zinc-Character-Encoding-Core","ZnNullEncoder"
"2","Zinc-Character-Encoding-Core","ZnCharacterReadStream"
"2","Monticello-Loading","MCPackageLoader"
"2","Zinc-Character-Encoding-Core","ZnCharacterWriteStream"
"2","System-CommandLine","BasicCodeLoader"
"2","Zinc-Character-Encoding-Core","ZnBufferedWriteStream"
"2","NonInteractiveTranscript","NonInteractiveTranscript"
"2","Morphic-ProgressBar","SystemProgressMorph"
"2","FreeType-FontManager","FreeTypeFontProvider"
"2","FileSystem-Memory","MemoryHandle"
"2","System-Announcements","SystemAnnouncer"
"2","Compiler-Support","ParseNodeVisitor"
"2","Kernel-Pragmas","Pragma"
"2","Zinc-Resource-Meta-Core","ZnMimeType"
"2","Network-Protocols","HTTPSocket"
"2","Files-System","SourceFileArray"
"2","Zinc-Resource-Meta-Core","ZnMultiValueDictionary"
"2","Morphic-Layouts","LayoutFrame"
"2","Polymorph-Widgets","PluggableTextEditorMorph"
"2","StartupPreferences","StartupLoader"
"2","Collections-Streams","NullStream"
"2","Compiler-Support","DebuggerMethodMap"
"2","Network-Protocols","HTTPProgress"
"6","FileSystem-Core","FileSystem"
"6","Renraku","ReSearchStringSourceAnchor"
"6","Deprecated60","ShortRunArray"
"6","Zinc-Character-Encoding-Core","ZnDefaultCharacterEncoder"
"6","Spec-Core","LabelModel"
"6","Renraku","RePriorInvocationCritic"
"6","Network-UUID","UUID"
"6","Spec-Core","ListModel"
"6","Spec-Examples","DropListExample"
"6","AST-Core","RBPragmaNode"
"6","Renraku-Test","RenrakuBaseTestCase"
"6","Zinc-Resource-Meta-Core","ZnMaximumNumberOfDictionaryEntries"
"6","AST-Core","RBComment"
"6","Kernel","ProcessSpecificVariable"
"6","Spec-Examples","TabsExample"
"6","Zinc-Character-Encoding-Core","ZnCharacterEncoder"
"6","Renraku","ReLaterInvocationCritic"
"6","Spec-Core","TabModel"
"6","Random-Core","SharedRandom"
"6","OpalCompiler-Core","OpalEncoderForSistaV1"
"6","Refactoring-Core","RBRealizeClassRefactoring"
"6","Zinc-Character-Encoding-Core","ZnInvalidUTF8"
"6","Spec-Core","RadioButtonModel"
"6","Spec-Examples","MethodBrowser"
"6","Renraku","ReTransformationCritic"
"6","Spec-Core","TabManagerModel"
"6","Kernel","Deprecation"
"6","Refactoring-Core","RBDeprecateMethodRefactoring"
"6","AST-Core","RBArgumentNode"
"6","Renraku","ReSourceAnchor"
"6","System-Platforms","Win32Platform"
"6","AST-Core","RBMethodNode"
"6","Spec-Examples","ApplicationWithToolbar"
"6","Spec-Examples","ListSelectionModel"
"6","OpalCompiler-Core","OpalCompiler"
"6","Zinc-HTTP","ZnEasy"
"6","Spec-Examples","DynamicSpecExample"
"6","Spec-PolyWidgets","PickListModel"
"6","StartupPreferences","StartupPreferencesLoader"
"6","Refactoring-Core","RBSwapMethodRefactoring"
"6","Alien","VMCallbackContext64"
"6","Glamour-FastTable","GLMFastTableDataSource"
"6","Renraku","ReStringBasedCritic"
"6","Metacello-Platform","MetacelloPharo30Platform"
"6","Kernel","Halt"
"6","Collections-Unordered","HashTableSizes"
"6","Zinc-HTTP","ZnCookie"
"6","Spec-Examples","CheckBoxExample"
"6","AST-Core","RBProgramNode"
"6","Alien","FFICallbackReturnValue"
"6","Announcements-Core","Announcer"
